Nation,Region,City,ClubName,Prestige
USA,Florida,Tampa,Tampa Bay Aquatics,3
USA,Florida,Boca Raton,Boca Raton Swim,3
USA,Florida,Clearwater,Clearwater Aquatics,3
USA,Florida,St. Petersburg,St. Pete Aquatics,3
USA,Florida,Tallahassee,Tallahassee Area,2
USA,Florida,Coral Springs,Coral Springs Swim,2
USA,Florida,Jupiter,Jupiter Dragons,2
USA,Florida,Naples,Naples YMCA,2
USA,Florida,Pensacola,Greater Pensacola,2
USA,New York,New York,New York Athletic Club,5
USA,New York,New York,Asphalt Green Unified,4
USA,New York,Long Island,Long Island Aquatic,4
USA,New York,Brooklyn,Brooklyn Mako,3
USA,New York,Rochester,Rochester Pack,3
USA,New York,Syracuse,Syracuse Chargers,3
USA,New York,Buffalo,Buffalo Area,2
USA,New York,Albany,Albany Starfish,2
USA,New York,Ithaca,Ithaca Aquatics,2
USA,New York,Queens,Queens Aquatics,2
USA,Pennsylvania,Philadelphia,Penn Charter,4
USA,Pennsylvania,State College,Nittany Lion Aquatic,4
USA,Pennsylvania,Pittsburgh,Pittsburgh Ruffian,3
USA,Pennsylvania,Hershey,Hershey Aquatic,3
USA,Pennsylvania,Allentown,Upper Main Line,3
USA,Pennsylvania,Lancaster,Lancaster Aquatic,2
USA,Pennsylvania,Erie,Lake Erie Swim,2
USA,Pennsylvania,Reading,Reading YMCA,2
USA,Pennsylvania,Scranton,Scranton Sea Knights,2
USA,Pennsylvania,Harrisburg,Harrisburg Aquatic,2
USA,Illinois,Chicago,Chicago Wolf Swim,4
USA,Illinois,Naperville,Mavericks Swim,4
USA,Illinois,Chicago,UICC Swim,3
USA,Illinois,Evanston,Evanston YMCA,3
USA,Illinois,Champaign,Illini Aquatics,3
USA,Illinois,Peoria,Peoria Area Water,2
USA,Illinois,Springfield,Springfield YMCA,2
USA,Illinois,Rockford,Rockford Marlins,2
USA,Illinois,Bloomington,Bloomington Waves,2
USA,Illinois,Aurora,Marmion Aquatics,2
USA,Ohio,Columbus,Ohio State Swim,5
USA,Ohio,Cincinnati,Cincinnati Marlins,4
USA,Ohio,Cleveland,Spire Institute,4
USA,Ohio,Mason,Mason Manta Rays,4
USA,Ohio,Dayton,Dayton Raiders,3
USA,Ohio,Akron,Firestone Akron,3
USA,Ohio,Toledo,Toledo YMCA,2
USA,Ohio,Canton,Canton City Swim,2
USA,Ohio,Hudson,Hudson Heat,2
USA,Ohio,Springfield,Springfield Family,2
USA,North Carolina,Charlotte,SwimMAC Carolina,5
USA,North Carolina,Raleigh,Wolfpack Elite,5
USA,North Carolina,Cary,TAC Titans,5
USA,North Carolina,Greensboro,Greensboro Swim,4
USA,North Carolina,Chapel Hill,North Carolina Aquatic,4
USA,North Carolina,Wilmington,Wilmington Waves,3
USA,North Carolina,Winston-Salem,Winston-Salem Swim,3
USA,North Carolina,Durham,Durham Aquatics,3
USA,North Carolina,Asheville,Asheville YMCA,2
USA,North Carolina,High Point,High Point Aquatic,2
USA,Georgia,Athens,Athens Bulldogs,5
USA,Georgia,Atlanta,Dynamo Swim Club,5
USA,Georgia,Atlanta,Swim Atlanta,4
USA,Georgia,Savannah,Savannah Swim Team,3
USA,Georgia,Columbus,Columbus Hurricanes,3
USA,Georgia,Marietta,Marietta Marlins,3
USA,Georgia,Augusta,Augusta Swim,2
USA,Georgia,Macon,Macon Waves,2
USA,Georgia,Alpharetta,Alpharetta Aquatics,2
USA,Georgia,Roswell,Roswell Rapids,2
USA,Indiana,Bloomington,Indiana Swim Club,5
USA,Indiana,Indianapolis,Carmel Swim Club,5
USA,Indiana,Indianapolis,Fishers Area Swim,4
USA,Indiana,West Lafayette,Boilermaker Aquatics,4
USA,Indiana,Fort Wayne,Fort Wayne Swim,3
USA,Indiana,South Bend,Irish Aquatics,3
USA,Indiana,Evansville,Evansville Aces,2
USA,Indiana,Terre Haute,Terre Haute Torpedos,2
USA,Indiana,Hammond,Hammond Aquatic,2
USA,Indiana,Columbus,Donner Swim Club,2
CHN,Zhejiang,Hangzhou,Zhejiang Swimming Team,5
CHN,Zhejiang,Hangzhou,Hangzhou Aquatics,4
CHN,Zhejiang,Ningbo,Ningbo Natation,4
CHN,Zhejiang,Wenzhou,Wenzhou Waves,3
CHN,Zhejiang,Shaoxing,Shaoxing Swim Club,3
CHN,Zhejiang,Jiaxing,Jiaxing Dolphins,3
CHN,Zhejiang,Jinhua,Jinhua Aquatic Center,2
CHN,Zhejiang,Taizhou,Taizhou Swim Team,2
CHN,Zhejiang,Lishui,Lishui River Club,2
CHN,Zhejiang,Quzhou,Quzhou Blue Water,2
CHN,Shanghai,Shanghai,Shanghai Team,5
CHN,Shanghai,Shanghai,Pudong Aquatics,4
CHN,Shanghai,Shanghai,Jiao Tong University,4
CHN,Shanghai,Shanghai,Minhang Swim Club,3
CHN,Shanghai,Shanghai,Jing'an Water Dragons,3
CHN,Shanghai,Shanghai,Xuhui Natation,3
CHN,Shanghai,Shanghai,Yangpu Swim,2
CHN,Shanghai,Shanghai,Hongkou Dolphins,2
CHN,Shanghai,Shanghai,Baoshan Aquatics,2
CHN,Shanghai,Shanghai,Jiading Sea Lions,2
CHN,Beijing,Beijing,Beijing Water Cube,5
CHN,Beijing,Beijing,Tsinghua University,4
CHN,Beijing,Beijing,Chaoyang Aquatics,4
CHN,Beijing,Beijing,Haidian Swim Club,3
CHN,Beijing,Beijing,Shunyi Dragons,3
CHN,Beijing,Beijing,Fengtai Natation,3
CHN,Beijing,Beijing,Dongcheng Swim,2
CHN,Beijing,Beijing,Xicheng Water Polo,2
CHN,Beijing,Beijing,Daxing Aquatics,2
CHN,Beijing,Beijing,Tongzhou Blue,2
CHN,Guangdong,Guangzhou,Guangdong Provincial,5
CHN,Guangdong,Shenzhen,Shenzhen Aquatics,4
CHN,Guangdong,Guangzhou,Yuexiu Swim Team,4
CHN,Guangdong,Dongguan,Dongguan Dolphins,3
CHN,Guangdong,Foshan,Foshan Waves,3
CHN,Guangdong,Zhuhai,Zhuhai Marlins,3
CHN,Guangdong,Shantou,Shantou Swim,2
CHN,Guangdong,Zhongshan,Zhongshan Aquatics,2
CHN,Guangdong,Jiangmen,Jiangmen Rivers,2
CHN,Guangdong,Huizhou,Huizhou Swim Club,2
CHN,Jiangsu,Nanjing,Jiangsu Swimming Team,5
CHN,Jiangsu,Suzhou,Suzhou Aquatics,4
CHN,Jiangsu,Wuxi,Wuxi Taihu Swim,4
CHN,Jiangsu,Nanjing,Nanjing University,3
CHN,Jiangsu,Changzhou,Changzhou Dragons,3
CHN,Jiangsu,Nantong,Nantong Waves,3
CHN,Jiangsu,Yangzhou,Yangzhou Swim,2
CHN,Jiangsu,Xuzhou,Xuzhou Aquatics,2
CHN,Jiangsu,Zhenjiang,Zhenjiang Blue,2
CHN,Jiangsu,Lianyungang,Lianyungang Sea Lions,2
CHN,Shandong,Jinan,Shandong Provincial,5
CHN,Shandong,Qingdao,Qingdao Ocean,4
CHN,Shandong,Yantai,Yantai Swim Club,4
CHN,Shandong,Weifang,Weifang Waves,3
CHN,Shandong,Jining,Jining Aquatics,3
CHN,Shandong,Linyi,Linyi Dragons,3
CHN,Shandong,Taian,Taian Swim,2
CHN,Shandong,Zibo,Zibo Blue Water,2
CHN,Shandong,Weihai,Weihai Sea Club,2
CHN,Shandong,Heze,Heze Natation,2
CHN,Hubei,Wuhan,Hubei Swim Team,5
CHN,Hubei,Wuhan,Wuhan University,4
CHN,Hubei,Yichang,Yichang Aquatics,4
CHN,Hubei,Xiangyang,Xiangyang Waves,3
CHN,Hubei,Jingzhou,Jingzhou Swim,3
CHN,Hubei,Huangshi,Huangshi Dragons,3
CHN,Hubei,Shiyan,Shiyan Blue,2
CHN,Hubei,Xiaogan,Xiaogan Natation,2
CHN,Hubei,Ezhou,Ezhou Swim Club,2
CHN,Hubei,Jingmen,Jingmen Aquatics,2
CHN,Sichuan,Chengdu,Sichuan Provincial,5
CHN,Sichuan,Chengdu,Chengdu University,4
CHN,Sichuan,Mianyang,Mianyang Aquatics,4
CHN,Sichuan,Leshan,Leshan Waves,3
CHN,Sichuan,Nanchong,Nanchong Swim,3
CHN,Sichuan,Yibin,Yibin Dragons,3
CHN,Sichuan,Luzhou,Luzhou Blue,2
CHN,Sichuan,Deyang,Deyang Natation,2
CHN,Sichuan,Meishan,Meishan Swim Club,2
CHN,Sichuan,Guangyuan,Guangyuan Aquatics,2
CHN,Liaoning,Shenyang,Liaoning Swim Team,5
CHN,Liaoning,Dalian,Dalian Ocean,4
CHN,Liaoning,Anshan,Anshan Aquatics,4
CHN,Liaoning,Fushun,Fushun Waves,3
CHN,Liaoning,Benxi,Benxi Swim,3
CHN,Liaoning,Dandong,Dandong Dragons,3
CHN,Liaoning,Jinzhou,Jinzhou Blue,2
CHN,Liaoning,Yingkou,Yingkou Natation,2
CHN,Liaoning,Liaoyang,Liaoyang Swim Club,2
CHN,Liaoning,Panjin,Panjin Aquatics,2
CHN,Fujian,Fuzhou,Fujian Provincial,5
CHN,Fujian,Xiamen,Xiamen Aquatics,4
CHN,Fujian,Quanzhou,Quanzhou Waves,4
CHN,Fujian,Zhangzhou,Zhangzhou Swim,3
CHN,Fujian,Putian,Putian Dragons,3
CHN,Fujian,Ningde,Ningde Blue,3
CHN,Fujian,Sanming,Sanming Natation,2
CHN,Fujian,Nanping,Nanping Swim Club,2
CHN,Fujian,Longyan,Longyan Aquatics,2
CHN,Fujian,Xiamen,Amoy University,2
CHN,Shaanxi,Xi'an,Shaanxi Swim Team,4
CHN,Shaanxi,Xi'an,Chang'an University,4
CHN,Shaanxi,Xianyang,Xianyang Aquatics,3
CHN,Shaanxi,Baoji,Baoji Waves,3
CHN,Shaanxi,Weinan,Weinan Swim,2
CHN,Shaanxi,Yan'an,Yan'an Dragons,2
CHN,Shaanxi,Yulin,Yulin Blue,2
CHN,Shaanxi,Hanzhong,Hanzhong Natation,2
CHN,Shaanxi,Ankang,Ankang Swim Club,2
CHN,Shaanxi,Shangluo,Shangluo Aquatics,2
CHN,Hunan,Changsha,Hunan Provincial,4
CHN,Hunan,Changsha,Xiangjiang Aquatics,4
CHN,Hunan,Zhuzhou,Zhuzhou Waves,3
CHN,Hunan,Xiangtan,Xiangtan Swim,3
CHN,Hunan,Hengyang,Hengyang Dragons,2
CHN,Hunan,Shaoyang,Shaoyang Blue,2
CHN,Hunan,Yueyang,Yueyang Natation,2
CHN,Hunan,Changde,Changde Swim Club,2
CHN,Hunan,Zhangjiajie,Zhangjiajie Aquatics,2
CHN,Hunan,Yiyang,Yiyang Dolphins,2
RUS,Moscow,Moscow,CSKA Moscow,5
RUS,Moscow,Moscow,Dinamo Moscow,5
RUS,Moscow,Moscow,Spartak Moscow,4
RUS,Moscow,Moscow,Yunost Moskvy,4
RUS,Moscow,Moscow,Olimpiyskiy Swim,4
RUS,Moscow,Moscow,RGUFKSMiT Aquatics,3
RUS,Moscow,Moscow,Torpedo Moscow,3
RUS,Moscow,Moscow,Chertanovo Swim,3
RUS,Moscow,Moscow,Krylatskoye Water,3
RUS,Moscow,Moscow,Sambo-70 Aquatics,2
RUS,Moscow,Moscow,Vityaz Swim Club,2
RUS,Moscow,Moscow,Zelenograd Dolphins,2
RUS,St. Petersburg,St. Petersburg,Energy Standard,5
RUS,St. Petersburg,St. Petersburg,Zenit St. Petersburg,5
RUS,St. Petersburg,St. Petersburg,Neva Stars,4
RUS,St. Petersburg,St. Petersburg,SKA St. Petersburg,4
RUS,St. Petersburg,St. Petersburg,Raduga Aquatics,3
RUS,St. Petersburg,St. Petersburg,Ekran Swim Club,3
RUS,St. Petersburg,St. Petersburg,Volna St. Petersburg,3
RUS,St. Petersburg,St. Petersburg,Kolpino Waves,2
RUS,St. Petersburg,St. Petersburg,Kronstadt Swim,2
RUS,St. Petersburg,St. Petersburg,Peterhof Aquatics,2
RUS,Tatarstan,Kazan,Sintez Kazan,5
RUS,Tatarstan,Kazan,Kazan Aquatics Center,4
RUS,Tatarstan,Kazan,Volga Region Academy,4
RUS,Tatarstan,Naberezhnye Chelny,Chelny Swim Club,3
RUS,Tatarstan,Nizhnekamsk,Nizhnekamsk Waves,3
RUS,Tatarstan,Almetyevsk,Almetyevsk Neftyanik,3
RUS,Tatarstan,Kazan,Zilant Swim,2
RUS,Tatarstan,Zelenodolsk,Zelenodolsk Dolphins,2
RUS,Tatarstan,Bugulma,Bugulma Aquatics,2
RUS,Tatarstan,Elabuga,Elabuga Blue Water,2
RUS,Volgograd Oblast,Volgograd,Volga Volgograd,5
RUS,Volgograd Oblast,Volgograd,Spartak Volgograd,4
RUS,Volgograd Oblast,Volgograd,Volgograd Academy,4
RUS,Volgograd Oblast,Volzhsky,Volzhsky Aquatics,3
RUS,Volgograd Oblast,Kamyshin,Kamyshin Swim,3
RUS,Volgograd Oblast,Mikhaylovka,Mikhaylovka Waves,3
RUS,Volgograd Oblast,Uryupinsk,Uryupinsk Dragons,2
RUS,Volgograd Oblast,Frolovo,Frolovo Blue,2
RUS,Volgograd Oblast,Volgograd,Olimpia Volgograd,2
RUS,Volgograd Oblast,Volgograd,Zenit Volgograd,2
RUS,Sverdlovsk,Yekaterinburg,Ural Swimming,5
RUS,Sverdlovsk,Yekaterinburg,Dinamo Yekaterinburg,4
RUS,Sverdlovsk,Nizhny Tagil,Sputnik Nizhny Tagil,4
RUS,Sverdlovsk,Kamensk-Uralsky,Kamensk Aquatics,3
RUS,Sverdlovsk,Pervouralsk,Pervouralsk Waves,3
RUS,Sverdlovsk,Serov,Serov Swim Club,3
RUS,Sverdlovsk,Novouralsk,Novouralsk Dolphins,2
RUS,Sverdlovsk,Asbest,Asbest Aquatics,2
RUS,Sverdlovsk,Polevskoy,Polevskoy Blue,2
RUS,Sverdlovsk,Yekaterinburg,Uralets Swim,2
RUS,Novosibirsk,Novosibirsk,Siberian Manta Rays,4
RUS,Novosibirsk,Novosibirsk,Dinamo Novosibirsk,4
RUS,Novosibirsk,Novosibirsk,Nika Swim Club,3
RUS,Novosibirsk,Berdsk,Berdsk Aquatics,3
RUS,Novosibirsk,Iskitim,Iskitim Waves,3
RUS,Novosibirsk,Kuybyshev,Kuybyshev Swim,2
RUS,Novosibirsk,Karasuk,Karasuk Dolphins,2
RUS,Novosibirsk,Tatarsk,Tatarsk Aquatics,2
RUS,Novosibirsk,Ob,Ob Blue Water,2
RUS,Novosibirsk,Novosibirsk,Sibiryak Swim,2
RUS,Rostov,Rostov-on-Don,Rostov Aquatics,4
RUS,Rostov,Rostov-on-Don,Don Swim Club,4
RUS,Rostov,Taganrog,Taganrog Waves,3
RUS,Rostov,Shakhty,Shakhty Dolphins,3
RUS,Rostov,Volgodonsk,Volgodonsk Swim,3
RUS,Rostov,Novocherkassk,Novocherkassk Blue,2
RUS,Rostov,Bataysk,Bataysk Aquatics,2
RUS,Rostov,Novoshakhtinsk,Novoshakhtinsk Dragons,2
RUS,Rostov,Kamensk-Shakhtinsky,Kamensk Swim,2
RUS,Rostov,Rostov-on-Don,Rostselmash Aquatics,2
RUS,Nizhny Novgorod,Nizhny Novgorod,Nizhny Novgorod Swim,4
RUS,Nizhny Novgorod,Nizhny Novgorod,Torpedo NN,4
RUS,Nizhny Novgorod,Dzerzhinsk,Dzerzhinsk Waves,3
RUS,Nizhny Novgorod,Arzamas,Arzamas Aquatics,3
RUS,Nizhny Novgorod,Sarov,Sarov Swim Club,3
RUS,Nizhny Novgorod,Bor,Bor Dolphins,2
RUS,Nizhny Novgorod,Kstovo,Kstovo Blue,2
RUS,Nizhny Novgorod,Pavlovo,Pavlovo Dragons,2
RUS,Nizhny Novgorod,Vyksa,Vyksa Aquatics,2
RUS,Nizhny Novgorod,Nizhny Novgorod,Olimpiyets NN,2
RUS,Krasnodar Krai,Krasnodar,Krasnodar Aquatics,5
RUS,Krasnodar Krai,Sochi,Sochi Dolphins,4
RUS,Krasnodar Krai,Novorossiysk,Black Sea Swim,4
RUS,Krasnodar Krai,Armavir,Armavir Waves,3
RUS,Krasnodar Krai,Yeysk,Yeysk Aquatics,3
RUS,Krasnodar Krai,Kropotkin,Kropotkin Swim,3
RUS,Krasnodar Krai,Slavyansk-na-Kubani,Slavyansk Blue,2
RUS,Krasnodar Krai,Tuapse,Tuapse Dragons,2
RUS,Krasnodar Krai,Gelendzhik,Gelendzhik Marlins,2
RUS,Krasnodar Krai,Krasnodar,Kuban Swim Team,2
RUS,Samara,Samara,Samara Aquatics,4
RUS,Samara,Samara,CSK VVS Samara,4
RUS,Samara,Tolyatti,Lada Tolyatti,4
RUS,Samara,Syzran,Syzran Waves,3
RUS,Samara,Novokuybyshevsk,Novokuybyshevsk Swim,3
RUS,Samara,Chapaevsk,Chapaevsk Dolphins,3
RUS,Samara,Zhigulevsk,Zhigulevsk Blue,2
RUS,Samara,Otradny,Otradny Aquatics,2
RUS,Samara,Kinel,Kinel Dragons,2
RUS,Samara,Samara,Volga Samara,2
RUS,Chelyabinsk,Chelyabinsk,Uralochka Swim,4
RUS,Chelyabinsk,Magnitogorsk,Metallurg Magnitogorsk,4
RUS,Chelyabinsk,Zlatoust,Zlatoust Waves,3
RUS,Chelyabinsk,Miass,Miass Aquatics,3
RUS,Chelyabinsk,Kopeysk,Kopeysk Swim Club,3
RUS,Chelyabinsk,Ozyorsk,Ozyorsk Blue,2
RUS,Chelyabinsk,Troitsk,Troitsk Dolphins,2
RUS,Chelyabinsk,Snezhinsk,Snezhinsk Dragons,2
RUS,Chelyabinsk,Satka,Satka Aquatics,2
RUS,Chelyabinsk,Chelyabinsk,Traktor Swim,2
RUS,Krasnoyarsk Krai,Krasnoyarsk,Yenisei Krasnoyarsk,4
RUS,Krasnoyarsk Krai,Krasnoyarsk,Siberian Academy,4
RUS,Krasnoyarsk Krai,Norilsk,Norilsk Polar Bears,3
RUS,Krasnoyarsk Krai,Achinsk,Achinsk Waves,3
RUS,Krasnoyarsk Krai,Kansk,Kansk Aquatics,3
RUS,Krasnoyarsk Krai,Zheleznogorsk,Zheleznogorsk Blue,2
RUS,Krasnoyarsk Krai,Minusinsk,Minusinsk Swim,2
RUS,Krasnoyarsk Krai,Zelenogorsk,Zelenogorsk Dolphins,2
RUS,Krasnoyarsk Krai,Lesosibirsk,Lesosibirsk Dragons,2
RUS,Krasnoyarsk Krai,Krasnoyarsk,Krasnoyarsk Waves,2
AUS,Queensland,Brisbane,St Peters Western,5
AUS,Queensland,Brisbane,Rackley Swim Team,4
AUS,Queensland,Brisbane,Brisbane Grammar,4
AUS,Queensland,Brisbane,Chandler SC,4
AUS,Queensland,Brisbane,Nudgee College,3
AUS,Queensland,Brisbane,Commercial SC,3
AUS,Queensland,Brisbane,Somerville House,3
AUS,Queensland,Brisbane,Brisbane Jets,2
AUS,Queensland,Brisbane,Acacia Bayside,2
AUS,Queensland,Brisbane,Valley Aquatics,2
AUS,Queensland,Gold Coast,Bond Swimming,5
AUS,Queensland,Gold Coast,Griffith University,5
AUS,Queensland,Gold Coast,TSS Aquatic,4
AUS,Queensland,Gold Coast,Miami Swim Club,4
AUS,Queensland,Gold Coast,Southport Olympic,3
AUS,Queensland,Gold Coast,Somerset GC,3
AUS,Queensland,Gold Coast,Surfers Paradise,2
AUS,Queensland,Sunshine Coast,USC Spartans,4
AUS,Queensland,Sunshine Coast,Pelican Waters,3
AUS,Queensland,Sunshine Coast,Noosa Swim Club,2
AUS,New South Wales,Sydney,Sydney University,5
AUS,New South Wales,Sydney,SOPAC Swim Club,4
AUS,New South Wales,Sydney,Knox Pymble,4
AUS,New South Wales,Sydney,Carlile Swimming,4
AUS,New South Wales,Sydney,Trinity Grammar,3
AUS,New South Wales,Sydney,Macquarie University,3
AUS,New South Wales,Sydney,City of Sydney,3
AUS,New South Wales,Sydney,Ravenswood,3
AUS,New South Wales,Sydney,Lane Cove,2
AUS,New South Wales,Sydney,Ryde Carlile,2
AUS,New South Wales,Sydney,Barker Aquatic,2
AUS,New South Wales,Sydney,Willoughby,2
AUS,New South Wales,Newcastle,Hunter Swim Club,3
AUS,New South Wales,Newcastle,Novocastrian,3
AUS,New South Wales,Newcastle,Nuswim,2
AUS,New South Wales,Wollongong,Wollongong Swim,2
AUS,Victoria,Melbourne,Melbourne Vicentre,5
AUS,Victoria,Melbourne,Nunawading,5
AUS,Victoria,Melbourne,Bayside Aquatics,4
AUS,Victoria,Melbourne,MLC Aquatic,4
AUS,Victoria,Melbourne,TigerSharks,3
AUS,Victoria,Melbourne,Firbank Aquastars,3
AUS,Victoria,Melbourne,Surrey Park,3
AUS,Victoria,Melbourne,CA Tritons,3
AUS,Victoria,Melbourne,Essendon District,2
AUS,Victoria,Melbourne,DVE Aquatic,2
AUS,Victoria,Melbourne,Ivanhoe Neons,2
AUS,Victoria,Melbourne,Ringwood,2
AUS,Victoria,Geelong,Geelong Swimming,3
AUS,Victoria,Geelong,Corio Gators,2
AUS,Western Australia,Perth,UWA West Coast,5
AUS,Western Australia,Perth,St Hildas,4
AUS,Western Australia,Perth,Westside Christchurch,4
AUS,Western Australia,Perth,Perth City,3
AUS,Western Australia,Perth,Southside Penrhos,3
AUS,Western Australia,Perth,Rockingham,3
AUS,Western Australia,Perth,Breakers WA,2
AUS,Western Australia,Perth,Arena Swim Club,2
AUS,Western Australia,Perth,Guilford Kalamunda,2
AUS,Western Australia,Perth,Victoria Park,2
AUS,South Australia,Adelaide,Marion Swimming,5
AUS,South Australia,Adelaide,Norwood,4
AUS,South Australia,Adelaide,Playford Aquatic,3
AUS,South Australia,Adelaide,Starplex,3
AUS,South Australia,Adelaide,Henley & Grange,3
