Nation,Gender,Type,Values
JPN,M,FirstName,Haruto;Minato;Yuto;Sota;Itsuki;Riku;Asahi;Hinata;Aoto;Yamato;Hiroto;Ren;Yuma;Yuta;Sora;Soma;Kaito;Hayato;Ibuki;Taiga;Katsuki;Rui;Shoma;Ryusei;Yusei;Touma;Koki;Kosei;Takeru;Kotaro;Ryoto;Yoshi;Kazuki;Kenji;Hiroshi;Taro;Daiki;Naoki;Shota;Takumi
JPN,F,FirstName,Rikako;Yui;Rio;Mei;Hina;Koharu;Mio;Yua;Ichika;Rin;Aoi;Honoka;Sakura;Miyu;Yuna;Himari;Sara;Akari;Kanna;Noa;Niko;Maki;Sana;Misaki;Yuko;Nana;Haruka;Yumi;Natsuki;Asuka;Rika;Saki;Ayumi;Mai;Miki;Emi;Yoko;Rina;Aya;Megumi
JPN,A,LastName,Sato;Suzuki;Takahashi;Tanaka;Watanabe;Ito;Yamamoto;Nakamura;Kobayashi;Kato;Yoshida;Yamada;Sasaki;Yamaguchi;Saito;Matsumoto;Inoue;Kimura;Hayashi;Shimizu;Yamazaki;Mori;Abe;Ikeda;Hashimoto;Yamashita;Ishikawa;Nakajima;Maeda;Fujita;Ogawa;Goto;Okada;Hasegawa;Murakami;Kondo;Ishii;Saito;Sakamoto;Endo
CAN,M,FirstName,Liam;Jackson;Noah;Lucas;Oliver;Grayson;Leo;Jack;Benjamin;William;Jacob;Ethan;Theodore;Hunter;Logan;Harrison;James;Mason;Carter;Ezra;Hudson;Lincoln;Alexander;Owen;Thomas;Charlie;Gavin;Mateo;Wyatt;Henry;Elijah;Declan;Asher;Oliver;Samuel;Levi;Sebastian;Daniel;Miles;Cole
CAN,F,FirstName,Summer;Penny;Maggie;Olivia;Emma;Charlotte;Amelia;Ava;Sophia;Chloe;Aria;Mila;Ella;Harper;Hazel;Lily;Isabella;Evelyn;Abigail;Mia;Emily;Elizabeth;Madison;Avery;Sofia;Camila;Eleanor;Scarlett;Luna;Chloe;Layla;Penelope;Riley;Zoey;Nora;Lily;Grace;Hannah;Stella;Zoe
CAN,A,LastName,Smith;Brown;Tremblay;Martin;Roy;Wilson;Macdonald;Gagnon;Johnson;Taylor;Cote;Campbell;Anderson;Jones;Leblanc;Lee;Williams;White;Bouchard;Gauthier;Morin;Lavoie;Pelletier;Fortin;Moore;Young;Robinson;Clark;Murphy;Scott;Kelly;Thompson;King;Belanger;Gallo;Nguyen;Wright;Hill;Walker;Moore
GER,M,FirstName,Maximilian;Alexander;Paul;Leon;Louis;Elias;Felix;Ben;Noah;Jonas;Lukas;Finn;Luca;Milan;Max;Tim;Julian;Emil;Anton;Moritz;Philipp;David;Oskar;Jan;Tom;Linus;Mika;Vincent;Matteo;Lennard;Leo;Jannik;Simon;Nils;Marlon;Liam;Fabian;Jonathan;Rafael;Hannes
GER,F,FirstName,Emma;Mia;Hannah;Emilia;Sofia;Lina;Anna;Mila;Clara;Lea;Marie;Lena;Johanna;Leonie;Lilly;Amelie;Luisa;Mathilda;Nele;Lara;Ida;Charlotte;Laura;Emily;Sarah;Maja;Melina;Frieda;Pia;Paula;Julia;Leni;Greta;Alina;Victoria;Ella;Sophie;Mira;Helena;Marlene
GER,A,LastName,Muller;Schmidt;Schneider;Fischer;Weber;Meyer;Wagner;Becker;Schulz;Hoffmann;Schafer;Koch;Bauer;Richter;Klein;Wolf;Schroder;Neumann;Schwarz;Zimmermann;Braun;Kruger;Hofmann;Hartmann;Lange;Schmitt;Werner;Krause;Meier;Lehmann;Schmid;Schulze;Maier;Kohler;Herrmann;Konig;Walter;Mayer
HUN,M,FirstName,Bence;Mate;Dominik;Levente;Balazs;Milan;David;Adam;Tamas;Zsombor;Peter;Gergely;Daniel;Zoltan;Gabor;Laszlo;Istvan;Jozsef;Janos;Andras;Attila;Sandor;Zalan;Marcell;Kristof;Oliver;Botond;Mark;Patrik;Richard;Roland;Norbert;Akos;Csaba;Krisztian;Imre;Gyorgy;Marton;Bence;Aron
HUN,F,FirstName,Katinka;Zsuzsanna;Boglarka;Hanna;Anna;Zoe;Luca;Emma;Jazmin;Lena;Lili;Zselyke;Laura;Aliz;Maja;Flora;Nora;Fanni;Dora;Lilla;Sofi;Reka;Viktoria;Blanka;Mira;Panna;Zsofia;Kamilla;Bianka;Vivien;Petra;Csenge;Dorina;Eszter;Greta;Kinga;Rebeka;Noemi;Dalma;Kira
HUN,A,LastName,Nagy;Kovacs;Toth;Szabo;Horvath;Varga;Kiss;Molnar;Nemeth;Farkas;Balogh;Papp;Takacs;Juhasz;Lakatos;Meszaros;Simon;Fekete;Szilagyi;Gyoergy;Tamas;Fodor;Gali;Halasz;Somogyi;Orosz;Kocsis;Pinter;Kelemen;Hegedus;Sipos;Szekely;Vass;Boros;Fazekas;Veres;Bognar;Gulyas;Kozma;Orsos
NED,M,FirstName,Daan;Sem;Milan;Lucas;Luuk;Bram;Jesse;Finn;Thomas;Max;Gijs;Thijs;Lars;Sven;Julian;Ruben;Levi;Niels;Stijn;Mees;Sam;Rick;Tim;Koen;Bas;Jeroen;Mark;Jan;Peter;Pieter;Willem;Johan;Henk;Dirk;Tom;Casper;Joris;Floris;Sjoerd;Joost
NED,F,FirstName,Emma;Julia;Mila;Tess;Sophie;Zoe;Sara;Nora;Yara;Eva;Liv;Lotte;Elin;Fenna;Maud;Lieke;Lisa;Roos;Noa;Fleur;Lynn;Anna;Isa;Lauren;Milou;Nina;Sterre;Vera;Floor;Iris;Eline;Jasmijn;Tirza;Marit;Daphne;Merel;Esmee;Tessa;Naomi;Sanne
NED,A,LastName,De Jong;Jansen;De Vries;Van den Berg;Van Dijk;Bakker;Janssen;Visser;Smit;Meijer;De Boer;Mulder;De Groot;Bos;Vos;Peters;Hendriks;Van Leeuwen;Dekker;Brouwer;De Wit;Dijkstra;Smits;De Graaf;Van der Meer;Van der Linden;Kok;Jacobs;De Haan;Vermeulen;Van den Heuvel;Van der Veen;Van den Broek;De Bruin;Heijmans;Scholten;Van Beek;Vink;Willems;Kuipers
BRA,M,FirstName,Miguel;Arthur;Gael;Heitor;Theo;Davi;Gabriel;Bernardo;Samuel;Joao;Pedro;Matheus;Lucas;Guilherme;Rafael;Gustavo;Enzo;Nicolas;Felipe;Caua;Victor;Henrique;Murilo;Eduardo;Thiago;Bruno;Leonardo;Daniel;Vitor;Rodrigo;Diego;Fernando;Marcelo;Alexandre;Ricardo;Carlos;Paulo;Roberto;Marcos;Luis
BRA,F,FirstName,Helena;Alice;Laura;Maria;Sophia;Manuela;Maitê;Liz;Cecilia;Isabella;Luiza;Eloa;Valentina;Julia;Heloisa;Livia;Lorena;Giovanna;Beatriz;Isadora;Mariana;Clara;Melissa;Marina;Leticia;Amanda;Camila;Larissa;Fernanda;Bruna;Bianca;Jessica;Tatiana;Patricia;Aline;Aline;Juliana;Renata;Carolina;Vanessa
BRA,A,LastName,Silva;Santos;Oliveira;Souza;Rodrigues;Ferreira;Alves;Pereira;Lima;Gomes;Costa;Ribeiro;Martins;Carvalho;Almeida;Lopes;Soares;Fernandes;Vieira;Barbosa;Rocha;Dias;Nascimento;Andrade;Moreira;Nunes;Marques;Machado;Mendes;Freitas;Cardoso;Ramos;Goncalves;Santana;Teixeira;Araujo;Melo;Farias;Barros;Borges;Nascimento
ESP,M,FirstName,Hugo;Martin;Lucas;Mateo;Leo;Daniel;Alejandro;Pablo;Manuel;Alvaro;Adrian;David;Diego;Mario;Enrique;Javier;Jose;Antonio;Carlos;Juan;Francisco;Luis;Pedro;Miguel;Sergio;Jorge;Fernando;Alberto;Victor;Ignacio;Raul;Ivan;Ruben;Oscar;Roberto;Marcos;Guillermo;Andres;Ramon;Julio
ESP,F,FirstName,Lucia;Mireia;Sofia;Martina;Maria;Julia;Paula;Valeria;Emma;Daniela;Carla;Alba;Noa;Alma;Sara;Carmen;Vega;Lara;Mia;Valentina;Chloe;Marta;Irene;Adriana;Ana;Laura;Elena;Alejandra;Ines;Marina;Angela;Clara;Blanca;Aitana;Celia;Nuria;Teresa;Rosa;Raquel;Beatriz
ESP,A,LastName,Garcia;Fernandez;Gonzalez;Rodriguez;Lopez;Martinez;Sanchez;Perez;Martin;Gomez;Ruiz;Diaz;Hernandez;Alvarez;Jimenez;Moreno;Munoz;Alonso;Gutierrez;Romero;Navarro;Torres;Dominguez;Vazquez;Ramos;Gil;Ramirez;Serrano;Blanco;Molina;Morales;Suarez;Ortega;Delgado;Castro;Ortiz;Rubio;Marin;Sanz
SWE,M,FirstName,William;Liam;Noah;Lucas;Oliver;Oscar;Elias;Hugo;Adam;Alexander;Matteo;Nils;Leo;Vincent;Filip;Viktor;Isak;Anton;Axel;Edvin;Gabriel;Albin;Arvid;Melvin;Gustav;Leon;Emil;Carl;Hjalmar;Theo;Olle;Charlie;Malte;Oskar;Ludvig;Samuel;Max;Johan;Erik;Lars
SWE,F,FirstName,Sarah;Alice;Maja;Elsa;Astrid;Wilma;Freja;Olivia;Ebba;Selma;Lilly;Signe;Ella;Julia;Agnes;Stella;Alva;Klara;Ida;Linnea;Elin;Moa;Emma;Nova;Hanna;Isabelle;Lovisa;Amanda;Milda;Saga;Alicia;Vera;Ellen;Felicia;Tyra;Molly;Evelina;Nathalie;Tilda;Frida
SWE,A,LastName,Johansson;Andersson;Karlsson;Nilsson;Eriksson;Larsson;Olsson;Persson;Svensson;Gustafsson;Pettersson;Jonsson;Jansson;Hansson;Bengtsson;Jönsson;Lindberg;Jakobsson;Magnusson;Olofsson;Lindström;Lindqvist;Lindgren;Axelsson;Bergström;Lundberg;Lundgren;Berg;Lundqvist;Mattsson;Berglund;Fredriksson;Sandberg;Henriksson;Forsberg;Sjöberg;Wallin;Engström;Eklund;Holm
RSA,M,FirstName,Siyabonga;Thabo;Junior;Bandile;Melusi;Lethabo;Banele;Kagiso;Sipho;Lungelo;Johan;Pieter;Willem;Hendrik;Johannes;Francois;Jacques;Dirk;Stefan;Christiaan;David;John;Michael;Peter;Robert;Richard;William;James;Charles;Thomas;Daniel;Matthew;Anthony;Mark;Paul;Steven;Andrew;Kenneth;George;Joshua
RSA,F,FirstName,Tatjana;Amathle;Lwandle;Buhle;Thandeka;Lerato;Lesedi;Zanele;Sibongile;Ayesha;Fatima;Amina;Johanna;Maria;Anna;Margaretha;Cornelia;Jacoba;Elizabeth;Susanna;Sarah;Jessica;Megan;Lauren;Nicole;Rachel;Chloe;Emma;Hannah;Samantha;Grace;Olivia;Abigail;Mia;Amy;Kelly;Natalie;Rebecca;Kim;Claire
RSA,A,LastName,Dlamini;Ndlovu;Khumalo;Sithole;Mokoena;Nkosi;Zungu;Cele;Zulu;Mthembu;Botha;Van der Merwe;Pretorius;Venter;Nel;Fourie;Louw;Van Zyl;Smit;Du Plessis;Coetzee;Oosthuizen;Steyn;Meyer;Potgieter;Naidoo;Govender;Moodley;Pillay;Chetty;Smith;Williams;Brown;Jones;Taylor;Davis;White;Harris;Martin;Thompson
KOR,M,FirstName,Min-jun;Seo-jun;Do-yun;Ye-jun;Si-woo;Ji-ho;Joo-won;Ha-joon;Ji-hu;Jun-woo;Geon-woo;Ji-hoon;Dong-hyun;Hyun-woo;Sung-min;Min-jae;Woo-jin;Jin-woo;Seung-min;Jong-in;Tae-hyung;Ji-min;Nam-joon;Seok-jin;Ho-seok;Yoon-gi;Jungkook;Eun-woo;Min-ho;Bo-gum;Jong-suk;Soo-hyun;Woo-bin;Hyun-bin;Dong-wook;Gong-yoo;Seo-joon;Hae-in;Bo-hyun;Jae-wook
KOR,F,FirstName,Seo-yeon;Seo-yun;Ji-woo;Seo-hyeon;Ha-eun;Ha-eun;Ji-yoo;Ji-a;Chae-won;Ye-eun;Soo-ah;Da-eun;Ye-rin;Ji-yoon;Su-bin;So-yul;Ji-eun;Ha-rin;Yu-jin;Tae-yeon;Ji-su;Hye-kyo;Min-young;Shin-hye;Hyo-joo;Ye-jin;Suzy;Ji-eun;Bo-young;Go-eun;So-dam;So-hee;Ha-neul;Eun-ji;Na-eun;Ji-hyo;Yoo-jung;So-hyun;Se-kyung;Min-ah
KOR,A,LastName,Kim;Lee;Park;Choi;Jeong;Kang;Jo;Yoon;Jang;Lim;Han;Oh;Seo;Shin;Kwon;Hwang;Ahn;Song;Ryu;Jeon;Hong;Go;Moon;Yang;Son;Bae;Baek;Heo;Yoo;Nam;Sim;No;Ha;Gwak;Seong;Cha;Joo;Woo;Goo;Min
ROU,M,FirstName,Andrei;Alexandru;Gabriel;Ionut;Stefan;Mihai;Cristian;Florin;Daniel;Bogdan;Nicolae;Gheorghe;Vasile;Constantin;Marian;Adrian;Ilie;Ioan;Dumitru;Radu;Valentin;Cosmin;Alin;Ciprian;Emanuel;Tudor;Razvan;Silviu;Catalin;George;Lucian;Sorin;Emil;Octavian;Paul;Victor;Denis;Iulian;Sergiu;Darius
ROU,F,FirstName,Maria;Elena;Andreea;Ioana;Alexandra;Ana;Mihaela;Diana;Denisa;Georgiana;Roxana;Alina;Gabriela;Florina;Cristina;Daniela;Iulia;Mirela;Bianca;Stefania;Simona;Oana;Nicoleta;Laura;Camelia;Silvia;Corina;Valentina;Irina;Luminita;Raluca;Carmen;Sorina;Madalina;Anca;Catalina;Monica;Livia;Viorica;Georgeta
ROU,A,LastName,Popa;Popescu;Radu;Dumitru;Stan;Stoica;Gheorghe;Matei;Ciobanu;Ionescu;Rusu;Mihai;Constantin;Serban;Marin;Tudor;Bogdan;Oprea;Macovei;Nita;Iancu;Dobre;Munteanu;Neagu;Ilie;Vasile;Barbu;Enache;Toma;Stefanescu;Diaconu;Iordache;Petrescu;Balan;Cojocaru;Lungu;Gavrila;Andrei;Sandu
LTU,M,FirstName,Lukas;Matas;Nojus;Dominykas;Rokas;Jonas;Kajus;Mantas;Ignas;Dovydas;Tomas;Emilis;Danielius;Benas;Gustas;Markas;Adomas;Jokubas;Simonas;Martynas;Arnas;Titas;Vakaris;Paulius;Pijus;Karolis;Edvinas;Tauras;Džiugas;Julius;Orestas;Aironas;Justas;Kipras;Vilius;Gytis;Armandas;Kristupas;Mindaugas;Vytautas
LTU,F,FirstName,Ruta;Emilija;Gabija;Liepa;Amelija;Leja;Kamile;Lukne;Austėja;Vilte;Smilte;Ema;Urte;Ieva;Sofija;Rugile;Ugne;Viktorija;Greta;Kotyra;Godai;Saule;Klaudija;Monika;Meda;Aiste;Goda;Karolina;Kornelija;Paulina;Simona;Agne;Egle;Ausra;Vaida;Giedre;Rasa;Jolanta;Daiva;Neringa
LTU,M,LastName,Kazlauskas;Jankauskas;Petrauskas;Stankevicius;Vasiliauskas;Zukauskas;Butkus;Paulauskas;Urbonas;Kavaliauskas;Sakalauskas;Navickas;Baranauskas;Zeleniakas;Adomaitis;Ramanauskas;Kairys;Rimkus;Zemaitis;Zinkevicius;Balciunas;Maliauskas;Pocius;Marcinkevicius;Grigaliunas;Alekna;Sabonis;Valanciunas;Jasikevicius;Motiejunas;Kleiza;Giedraitis;Kuzminskas;Ulanovas;Jankunas;Maciulis;Kalnietis;Seibutis;Gudaitis;Lavrinovic
